Epoch,Loss,Accuracy,Auc,Auc_roc,Auc_pr,Precision,Recall,F1_score,Hamming_loss,Map,V_loss,V_acc,V_auc,Val_auc_roc,Val_auc_pr,Val_precision,Val_recall,Val_f1_score,Val_hamming_loss,Val_map,LR,Next LR,Monitor,% Improv,Duration
1,0.0966387465596199,0.4712076783180237,0.9077025651931763,0.9077025651931763,0.5413975715637207,0.7395778298377991,0.26125454902648926,0.3369736075401306,0.03773370012640953,0.6476673483848572,0.1370522528886795,0.5299785733222961,0.9353079199790955,0.9353079199790955,0.6528416872024536,0.8067940473556519,0.3125,0.38573020696640015,0.03544662520289421,0.7132765650749207,9.999999747378752e-06,9.999999747378752e-06,val_accuracy,0.0,243.53221893310547
2,0.08860228955745697,0.5195947885513306,0.9215748906135559,0.9215748906135559,0.6107512712478638,0.7611097693443298,0.3258698582649231,0.4036889672279358,0.0351620689034462,0.6876600980758667,0.13224399089813232,0.58137047290802,0.9361587166786194,0.9361587166786194,0.7007595896720886,0.8461538553237915,0.34375,0.4194183647632599,0.033420003950595856,0.747374951839447,9.999999747378752e-06,9.999999747378752e-06,val_accuracy,9.696976853905921,173.992614030838
3,0.08404505997896194,0.5526525974273682,0.9291583299636841,0.9291583299636841,0.6419339776039124,0.7717127203941345,0.3670766353607178,0.44782716035842896,0.03358151391148567,0.7185903787612915,0.1263069361448288,0.5910063982009888,0.9443799257278442,0.9443799257278442,0.7314944863319397,0.8653846383094788,0.3700657784938812,0.4491298794746399,0.03196696192026138,0.7628260850906372,9.999999747378752e-06,9.999999747378752e-06,val_accuracy,1.6574500670406893,173.20481324195862
4,0.07896820455789566,0.5778459310531616,0.9353561997413635,0.9353561997413635,0.6823839545249939,0.7971866726875305,0.39913803339004517,0.48436665534973145,0.03181055560708046,0.7384577393531799,0.11975744366645813,0.6263383030891418,0.9458342790603638,0.9458342790603638,0.7560186386108398,0.8676716685295105,0.4259868562221527,0.5096956491470337,0.0297109205275774,0.7883830070495605,9.999999747378752e-06,9.999999747378752e-06,val_accuracy,5.978260979187817,172.6699457168579
5,0.07487482577562332,0.6117035746574402,0.9420669674873352,0.9420669674873352,0.7127295732498169,0.8088321685791016,0.43319666385650635,0.5183663368225098,0.03030620887875557,0.764338493347168,0.11709298938512802,0.6274089813232422,0.952642023563385,0.952642023563385,0.773848831653595,0.8576104640960693,0.4309210479259491,0.5133082866668701,0.029787398874759674,0.791522204875946,9.999999747378752e-06,9.999999747378752e-06,val_accuracy,0.17094248089565753,172.68818020820618
6,0.07129161804914474,0.6320980787277222,0.9473615288734436,0.9473615288734436,0.7389407753944397,0.816669762134552,0.46452224254608154,0.5518838763237,0.028973227366805077,0.7817157506942749,0.11021997034549713,0.6680942177772522,0.9538642168045044,0.9538642168045044,0.8049659132957458,0.8893939256668091,0.48273026943206787,0.5730449557304382,0.026843076571822166,0.8177364468574524,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,11.637581277221106,171.5530412197113
7,0.06794040650129318,0.6442282199859619,0.95274817943573,0.95274817943573,0.7605655789375305,0.8287814855575562,0.4976348280906677,0.5829584002494812,0.027406973764300346,0.7960167527198792,0.10453953593969345,0.7044968008995056,0.9603057503700256,0.9603057503700256,0.8199863433837891,0.8805121183395386,0.5090460777282715,0.6028819680213928,0.026040075346827507,0.8423102498054504,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,5.2067489631633705,173.62089776992798
8,0.0640362948179245,0.6736870408058167,0.9588637948036194,0.9588637948036194,0.7851132154464722,0.8314833641052246,0.5197098851203918,0.6037842631340027,0.02652149833738804,0.8168712258338928,0.09954970329999924,0.7023554444313049,0.9627498984336853,0.9627498984336853,0.838750958442688,0.8878865838050842,0.5666118264198303,0.6557925939559937,0.023478128015995026,0.8542554974555969,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,8.7762827122279,173.60915279388428
9,0.0615747906267643,0.6876832842826843,0.9609259366989136,0.9609259366989136,0.8013807535171509,0.8392799496650696,0.5489330291748047,0.6303883790969849,0.025188524276018143,0.8282762765884399,0.09913984686136246,0.6905781626701355,0.960468590259552,0.960468590259552,0.8374470472335815,0.8896189332008362,0.5567434430122375,0.6452388763427734,0.023822270333766937,0.8496859669685364,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,-1.6093072276946776,174.40989232063293
10,0.0587603785097599,0.7079445719718933,0.964608371257782,0.964608371257782,0.8204630613327026,0.8464884757995605,0.5726900100708008,0.6541253924369812,0.024055486544966698,0.8428289294242859,0.09564290940761566,0.7109207510948181,0.9654892086982727,0.9654892086982727,0.8532090187072754,0.8955974578857422,0.5855262875556946,0.6674075126647949,0.02244570292532444,0.8675282001495361,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,1.7711268495326553,178.14541578292847
11,0.05643213540315628,0.7218075394630432,0.9672340750694275,0.9672340750694275,0.8352776765823364,0.8568843603134155,0.5972878932952881,0.6774938106536865,0.022755835205316544,0.8542837500572205,0.08869645744562149,0.7505353093147278,0.9722567796707153,0.9722567796707153,0.8703542351722717,0.9086595773696899,0.6299341917037964,0.7139293551445007,0.020151423290371895,0.8820946216583252,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,6.970530237808603,172.24032592773438
12,0.05378788709640503,0.7379365563392639,0.9713084101676941,0.9713084101676941,0.8536219596862793,0.8707392811775208,0.620309054851532,0.6997486352920532,0.021365733817219734,0.8677543997764587,0.0865783840417862,0.7344753742218018,0.9724963903427124,0.9724963903427124,0.884729266166687,0.9138533473014832,0.6455591917037964,0.7306638956069946,0.019310185685753822,0.8900415301322937,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,2.3440050954490856,171.91040658950806
