class_index,class,height,width,scale by,Offset
0,DR,380,380,1,0
1,MH,380,380,1,0
2,ODC,380,380,1,0
3,TSLN,380,380,1,0
4,DN,380,380,1,0
5,ARMD,380,380,1,0
6,MYA,380,380,1,0
7,BRVO,380,380,1,0
8,ODP,380,380,1,0
9,ODE,380,380,1,0
10,LS,380,380,1,0
11,RS,380,380,1,0
12,CSR,380,380,1,0
13,CRS,380,380,1,0
14,CRVO,380,380,1,0
15,RPEC,380,380,1,0
16,MS,380,380,1,0
17,AION,380,380,1,0
18,ERM,380,380,1,0
19,AH,380,380,1,0
20,RT,380,380,1,0
21,EDN,380,380,1,0
22,PT,380,380,1,0
23,MHL,380,380,1,0
24,ST,380,380,1,0
25,TV,380,380,1,0
26,RP,380,380,1,0
27,other,380,380,1,0
